File_Name	gene	Cell Type	locus	WT_Avg_FPKM	KO_Avg_FPKM	log2_fold_change	p_value	adj_p_value	significant	WT_rep1_FPKM	WT_rep2_FPKM	WT_rep3_FPKM	KO_rep1_FPKM	KO_rep2_FPKM	KO_rep3_FPKM
File_37	Krt86	CD4 T 	chr15:101431013-101491512	10.4141	1.19505	-3.1234	6.18E-08	1.29E-05	yes	11.7196	2.43619	17.7197	0.177602	0.49584	2.91983
File_38	Lrrc15	CD4 T 	chr16:30269301-30283254	1.16855	0.342837	-1.76912	0.000176118	0.0146999	yes	1.31569	0.360458	1.84385	0.104744	0.469983	0.455402
File_39	Myh4	CD4 T 	chr11:67238028-67260446	8.25773	0.620914	-3.73328	0	0	yes	20.1405	4.22372	5.44165	0.0411297	1.20898	0.623431
File_40	Mylpf	CD4 T 	chr7:127211607-127214287	724.247	163.54	-2.14684	2.22E-16	4.77E-13	yes	1508.07	474.298	478.512	16.0437	290.995	186.855
File_41	Ppp1r3a	CD4 T 	chr6:14713821-14755274	1.63191	0.500822	-1.70419	2.95E-05	0.00323354	yes	2.76981	0.959858	0.971969	0.0331291	0.851061	0.616159
File_42	Rab6b	CD4 T 	chr9:103112073-103185270	3.77634	1.36788	-1.46505	6.94E-06	0.000883689	yes	4.23298	2.98947	3.88727	1.00314	1.44642	1.60929
File_43	Rpl3l	CD4 T 	chr17:24727828-24736149	17.4549	4.56317	-1.93552	8.83E-07	0.000140649	yes	33.629	10.3276	11.0822	0.245207	8.60979	4.94705
File_44	Scd3	CD4 T 	chr19:44203191-44244267	20.4953	10.0611	-1.0265	4.16E-06	0.000545779	yes	27.4328	8.89502	25.2615	1.82204	14.9296	13.4373
File_45	Sln	CD4 T 	chr9:53850250-53853849	146.534	54.8915	-1.41658	1.15E-08	2.82E-06	yes	263.906	75.8643	97.5164	7.6129	80.3363	76.7295
File_46	Casq1	CD8 DC 	chr1:172209893-172219895	56.7585	15.5167	-1.87102	6.66E-16	1.15E-12	yes	109.813	35.6051	43.0776	1.85216	25.7886	19.2537
File_47	Krt6a	CD8 DC 	chr15:101689911-101694390	34.5912	15.5146	-1.15678	2.48E-07	4.64E-05	yes	37.025	17.6166	54.3791	1.55328	23.2077	22.0068
File_48	Saa2	CD8 DC 	chr7:46751832-46754314	46.5193	89.9619	0.951486	1.83E-05	0.00206188	yes	42.5687	57.6144	48.0985	111.032	75.445	105.123
File_49	Scn4b	CD8 DC 	chr9:45139041-45154061	1.52774	0.496177	-1.62248	0.000430608	0.031792	yes	2.89203	0.779328	1.05054	0.170139	0.835663	0.492526
File_50	Smyd1	CD8 DC 	chr6:71213939-71262281	6.90551	1.9436	-1.82902	1.53E-05	0.00179486	yes	13.0251	4.21023	4.11763	0.195955	3.55708	2.09321
File_51	Sprr1a	CD8 DC 	chr3:92483880-92485972	169.905	69.7195	-1.2851	8.80E-09	2.40E-06	yes	183.216	89.3344	254.655	11.5499	95.3154	103.116
File_52	Tnnt3	CD8 DC 	chr7:142460847-142516017	677.388	212.902	-1.6698	7.32E-07	0.000119894	yes	1498.19	434.612	535.366	20.9793	364.616	258.537
File_53	Actn2	CD8 T 	chr13:12269426-12340732	19.4028	8.23535	-1.23636	7.05E-08	1.41E-05	yes	32.5698	12.7688	17.0693	1.16221	12.0327	11.6582
File_54	Arg1	CD8 T 	chr10:24915206-24927470	19.3359	8.15126	-1.24619	8.80E-06	0.00109602	yes	21.817	10.9956	29.0531	0.86992	12.3355	11.4118
File_55	Art1	CD8 T 	chr7:102101741-102111152	9.51142	2.10557	-2.17545	0.000499724	0.0358011	yes	15.1309	5.97438	6.65808	0.276663	3.52815	2.53523
File_56	Asb10	CD8 T 	chr5:24532696-24540448	2.01921	0.439219	-2.20078	5.18E-05	0.00515146	yes	3.78249	1.13047	1.22204	0.153541	0.851036	0.316526
File_57	Cacna1s	CD8 T 	chr1:136052800-136119822	4.30512	1.15733	-1.89526	1.13E-08	2.82E-06	yes	7.86305	2.45928	3.02432	0.14072	1.94587	1.40364
File_58	Calml3	CD8 T 	chr13:3802892-3804318	25.9538	14.5552	-0.834405	0.000692656	0.04726	yes	32.3998	13.6585	32.8327	1.65621	17.7215	24.3381
File_59	Cdsn	CD8 T 	chr17:35543105-35557180	12.2021	5.90835	-1.0463	0.000462025	0.0336613	yes	14.5174	5.41247	15.8691	1.66599	5.88101	10.1253
File_60	Chac1	CD8 T 	chr2:119351241-119354327	2.97964	0.731071	-2.02705	0.00011971	0.0106098	yes	3.99245	1.38848	3.74382	0.22364	0.731692	1.2504
File_61	Ckm	CD8 T 	chr7:19410932-19422841	721.781	192.333	-1.90795	7.94E-10	3.50E-07	yes	1358.61	415.829	499.488	38.185	324.008	218.159
File_62	Ckmt2	CD8 T 	chr13:91853382-91876894	15.3666	5.08057	-1.59673	2.25E-06	0.000311989	yes	29.0601	11.9542	9.01705	2.79336	7.29391	5.57875
File_63	Cnfn	CD8 T 	chr7:25367615-25369724	77.3107	33.1397	-1.22211	9.70E-05	0.00887198	yes	76.2285	39.7911	107.311	2.64126	44.0261	52.4857
File_64	Col9a1	CD8 T 	chr1:24177609-24252738	0.0258778	0.22691	3.13233	0.000209619	0.0171697	yes	0.0368778	0.0205937	0.0286225	0.0518279	0.584819	0.0573579
File_65	Cox8b	CD8 T 	chr7:140898941-140900446	98.4386	40.2187	-1.29136	9.24E-05	0.00849591	yes	195.678	57.3205	69.0896	9.21814	58.4909	54.2104
File_66	Ddit4l	CD8 T 	chr3:137623671-137628332	5.81605	1.70009	-1.77443	1.55E-06	0.000227166	yes	9.6918	3.0207	3.55824	0.97843	2.63617	1.38062
File_67	Dupd1	CD8 T 	chr14:21676571-21714576	1.6588	0.118556	-3.8065	2.19E-06	0.000305999	yes	3.17351	0.970481	0.967645	0.0424765	0.197649	0.117522
File_68	Eef1a2	CD8 T 	chr2:181146211-181157026	36.669	11.8558	-1.62897	7.46E-12	5.13E-09	yes	63.0673	20.8774	26.957	3.80961	18.8053	13.0163
File_69	Efna3	CD8 T 	chr3:89302835-89322879	0.942056	3.36966	1.83872	0.000101736	0.00920654	yes	0.7574	1.30752	0.597612	3.23456	3.31104	3.32422
File_70	Fitm1	CD8 T 	chr14:55575673-55576952	11.7072	2.71814	-2.1067	9.34E-06	0.00115478	yes	20.0659	5.54529	6.14343	0.242709	4.89389	2.98451
File_71	Gadl1	CD8 T 	chr9:115909454-116076176	0.576077	0.114222	-2.33442	0.000140158	0.0120494	yes	0.991368	0.330048	0.444314	0.055408	0.186938	0.10217
File_72	Gm10229	CD8 T 	chr16:89015276-89015846	68.2913	4.77851	-3.83707	9.55E-15	1.26E-11	yes	64.1436	17.8848	114.844	0.238217	1.63574	12.4363
File_73	Gm11559	CD8 T 	chr11:99864475-99865571	2.91148	0.483039	-2.59154	0.000136851	0.0118839	yes	3.13918	0.629556	4.27917	0.0695975	0.210816	1.15444
File_74	Gm11567	CD8 T 	chr11:99879186-99880229	3.65561	0.242567	-3.91366	3.40E-07	5.96E-05	yes	3.69539	0.574489	5.76007	0.0812279	0.0460931	0.580896
File_75	Gm13177	CD8 T 	chr4:144613659-144623602	22.7452	2.84583	-2.99864	3.16E-07	5.59E-05	yes	29.9829	7.79194	27.2301	0.405009	4.43139	3.66706
File_76	Gm5105	CD8 T 	chr3:138048760-138081498	5.53513	1.11309	-2.31405	4.87E-09	1.50E-06	yes	9.57483	3.0765	3.29726	0.129492	1.9829	1.2166
File_77	Gpd1	CD8 T 	chr15:99717592-99725007	19.1847	9.39952	-1.02929	2.07E-06	0.000292091	yes	28.0784	16.3065	14.6667	9.4616	9.11331	10.1519
File_78	H19	CD8 T 	chr7:142575528-142578146	41.4779	11.486	-1.85246	6.66E-16	1.15E-12	yes	73.7051	32.9698	30.7153	1.85897	16.111	16.8384
File_79	Hfe2	CD8 T 	chr3:96525165-96529216	12.1968	3.26424	-1.90168	2.18E-07	4.16E-05	yes	20.6375	6.85527	8.21898	0.391342	5.38611	4.02362
File_80	Jsrp1	CD8 T 	chr10:80808495-80813498	16.6339	5.65807	-1.55574	0.00026048	0.0207347	yes	30.4064	9.23966	15.8163	0.649002	8.04547	8.42801
File_81	Klhl31	CD8 T 	chr9:77636731-77660122	2.68014	0.704296	-1.92805	2.98E-07	5.40E-05	yes	4.62362	1.22518	1.65493	0.10094	1.29164	0.709825
File_82	Krt13	CD8 T 	chr11:100117595-100121495	128.28	59.2919	-1.11339	1.42E-07	2.77E-05	yes	126.662	78.1021	208.932	5.44689	89.7245	83.9358
File_83	Krt14	CD8 T 	chr11:100203161-100207510	93.0381	45.8393	-1.02124	1.19E-06	0.000182937	yes	114.609	43.4995	139.694	6.04178	63.0848	69.3558
File_84	Krt15	CD8 T 	chr11:100131758-100135949	25.1099	12.9003	-0.960851	4.95E-05	0.00500319	yes	29.2324	14.7372	36.1823	1.86286	17.5812	19.5661
File_85	Krt17	CD8 T 	chr11:100256216-100260989	38.1574	17.2303	-1.14702	6.08E-07	0.000101523	yes	51.1304	16.1334	56.2513	4.1431	20.6511	27.5909
File_86	Krt33a	CD8 T 	chr11:100011198-100016212	6.9101	0.823918	-3.06813	2.83E-08	6.08E-06	yes	7.83649	1.71818	12.4096	0.195935	0.116621	2.19028
File_87	Krt33b	CD8 T 	chr11:100023633-100029868	9.25366	0.959201	-3.27012	1.61E-09	6.14E-07	yes	10.57	2.51543	16.6032	0.098539	0.230306	2.5667
File_88	Krt34	CD8 T 	chr11:100037350-100041554	10.7382	1.18957	-3.17424	1.75E-10	9.73E-08	yes	12.2656	2.5898	19.309	0.255349	0.316041	3.03735
File_89	Krt35	CD8 T 	chr11:100092191-100096224	0.993515	0.192689	-2.36627	0.000478269	0.0345519	yes	1.48163	0.171058	1.46069	0.0279916	0.222881	0.32949
File_90	Krt5	CD8 T 	chr15:101707069-101715501	59.2609	33.2914	-0.831932	0.000209703	0.0171697	yes	70.7908	29.522	85.496	3.74301	39.9402	56.6459
File_91	Krtap14	CD8 T 	chr16:88825290-88826145	18.8462	1.64959	-3.5141	1.69E-09	6.33E-07	yes	17.9173	3.58353	32.4348	0.117315	0.272942	4.54415
File_92	Krtap15	CD8 T 	chr16:88829008-88829844	30.6764	2.83718	-3.4346	1.99E-12	1.49E-09	yes	30.1867	7.50255	48.0501	0.725053	0.632582	7.02114
File_93	"Syt8,Tnni2"	"CD8 T, DC "	chr7:142434855-142444414	592.741	207.222	-1.51623	8.29E-09	2.34E-06	yes	1282.5	382.697	490.063	27.6677	330.893	272.607
File_94	Slc20a1	DC	chr2:129198772-129211617	52.1808	87.7445	0.749789	6.84E-05	0.00660277	yes	47.861	55.6267	49.0547	91.8992	73.6558	91.45
File_95	Nr4a1	DC 	chr15:101254249-101274797	19.9203	7.47922	-1.41328	1.55E-08	3.59E-06	yes	22.7622	15.6764	19.8527	8.2839	6.58746	7.04874
File_96	Actn3	Fibroblasts 	chr19:4861222-4877884	69.7975	6.15332	-3.50374	0	0	yes	151.221	41.0907	37.0843	0.504163	14.3174	3.70643
File_97	Adh1	Fibroblasts 	chr3:138277302-138291345	660.596	1323.79	1.00284	8.62E-05	0.00809442	yes	632.522	718.43	630.76	1385.93	1217.16	1372.31
File_98	Ak1	Fibroblasts 	chr2:32621757-32635698	50.7709	18.4997	-1.4565	2.95E-09	9.56E-07	yes	84.012	28.669	38.6256	8.09186	26.8128	20.5603
File_99	Atp1a2	Fibroblasts 	chr1:172271708-172298064	17.393	9.64203	-0.851097	1.90E-05	0.00212063	yes	26.418	11.4643	16.1362	5.21867	12.7618	11.3113
File_100	C3	Fibroblasts 	chr17:57203972-57228136	20.2503	12.9262	-0.647643	0.000586025	0.0412956	yes	24.8185	20.1712	19.553	13.3216	16.0826	11.4856
File_101	Elovl4	Fibroblasts 	chr9:83778691-83806305	27.4063	12.3533	-1.14961	1.23E-06	0.000186097	yes	35.7918	10.1511	30.7187	1.32534	17.7999	17.7464
File_102	Fos	Fibroblasts 	chr12:85473900-85477270	35.6187	59.0477	0.729245	0.000122467	0.0107985	yes	31.1045	38.9169	37.2265	40.0657	52.8598	84.6714
File_103	Gna14	Fibroblasts 	chr19:16435666-16610950	11.9394	20.736	0.796406	0.000352202	0.0266774	yes	11.7211	13.1979	9.91497	24.9693	17.5491	17.7208
File_104	Pfkm	Fibroblasts 	chr15:98038743-98132514	53.2471	22.164	-1.26449	2.77E-09	9.15E-07	yes	91.7514	34.8013	42.1463	11.4583	32.3545	23.8992
File_105	Phkg1	Fibroblasts 	chr5:129846989-129879083	4.67363	0.910646	-2.35958	3.33E-05	0.00360299	yes	9.83877	2.69077	2.49402	0.249213	1.59943	0.916926
File_106	Pkia	Fibroblasts 	chr3:7366603-7445365	10.98	5.51814	-0.992622	0.000387198	0.0291995	yes	16.0088	6.9285	7.93397	3.74844	6.78313	5.58932
File_107	Ppp1r3c	Fibroblasts 	chr19:36731730-36736604	15.0891	7.3409	-1.03948	1.14E-05	0.00136483	yes	22.1719	10.9412	12.1889	4.36397	9.83861	7.84278
File_108	Pygm	Fibroblasts 	chr19:6384428-6398459	107.824	31.2957	-1.78464	1.38E-14	1.58E-11	yes	198.391	63.0597	74.8287	8.19221	52.1826	34.1038
File_109	Rtn2	Fibroblasts 	chr7:19282666-19296160	41.8777	18.2823	-1.19573	3.00E-06	0.000405712	yes	64.2537	22.9059	34.5936	9.52027	24.053	20.8682
File_110	Serpinf1	Fibroblasts 	chr11:75410028-75422623	34.962	19.7283	-0.82552	0.000116047	0.0103384	yes	44.6086	28.7146	37.866	15.1562	26.1366	20.0385
File_111	Slc25a4	Fibroblasts 	chr8:46207340-46211009	356.431	198.071	-0.847603	4.28E-05	0.00438501	yes	520.941	237.229	308.412	127.027	253.971	213.744
File_112	Duox2	Lymphatic Endothelium 	chr2:122279242-122298791	4.56678	8.0337	0.814888	0.000124079	0.0108848	yes	3.81379	5.59095	4.42171	10.9126	6.96236	6.65804
File_113	Jph1	Lymphatic Endothelium 	chr1:16994939-17097889	3.59512	1.39576	-1.36499	0.000631204	0.043939	yes	5.59261	2.20494	2.50093	0.805501	1.73969	1.57442
File_114	Scn1b	Lymphatic Endothelium 	chr7:31116523-31126945	20.0843	10.3668	-0.954098	0.000211177	0.0172084	yes	27.0026	14.5831	17.9762	8.15578	12.9775	9.7916
File_115	Slc38a4	Lymphatic Endothelium 	chr15:96994822-97055956	1.71098	0.448675	-1.93108	3.57E-05	0.00381629	yes	2.66031	1.02262	1.13139	0.199743	0.625579	0.500682
File_116	Smtnl2	Lymphatic Endothelium 	chr11:72388923-72411771	11.9626	3.28244	-1.86568	1.09E-08	2.77E-06	yes	19.9456	7.03691	8.04217	0.837761	5.3061	3.679
File_117	Btaf1	Macrophage 	chr19:36925840-37014061	11.8062	5.08255	-1.21592	1.09E-06	0.000169109	yes	9.57834	13.785	11.7907	5.32415	4.29818	5.48396
File_118	Ccdc109b	Macrophage 	chr3:129914942-129970206	3.46658	1.01328	-1.77448	0.000508628	0.0362877	yes	3.62319	3.40587	3.54952	0.959074	1.13646	0.995826
File_119	Fgl2	Macrophage 	chr5:21292960-21424677	35.8345	21.121	-0.762673	6.14E-05	0.00602927	yes	40.9452	25.2074	37.0093	17.4438	26.7592	17.4113
File_120	Fsd2	Macrophage 	chr7:81534353-81566981	2.51508	0.512612	-2.29466	2.53E-06	0.000347941	yes	4.76104	1.62846	1.81638	0.110207	0.897415	0.546307
File_121	Gbp1	Macrophage 	chr3:142594846-142619176	0.281631	10.6871	5.24592	0	0	yes	0.330783	0.336485	0.216041	12.2788	10.4216	10.7276
File_122	Kbtbd10	Macrophage 	chr2:69670119-69684239	23.2539	7.69194	-1.59606	6.20E-11	3.95E-08	yes	40.4957	11.8898	16.8982	1.27078	12.1306	9.66676
File_123	Myoz1	Macrophage 	chr14:20646937-20656615	63.6254	15.7957	-2.01007	5.55E-15	7.95E-12	yes	133.836	39.1397	43.9106	1.07798	29.6371	16.9122
File_124	Ppbp	Macrophage 	chr5:90768517-90770060	23.9357	6.90384	-1.79369	6.24E-08	1.29E-05	yes	21.2026	12.5361	34.6063	1.37314	12.3224	6.81432
File_125	Slc37a2	Macrophage 	chr9:37225183-37255738	26.5171	75.0227	1.5004	1.18E-10	7.00E-08	yes	27.197	26.1529	25.0501	80.4906	63.0799	78.7184
File_126	Tmem41b	Macrophage 	chr7:109972186-109986230	14.7794	8.76794	-0.753274	0.000313185	0.0243661	yes	13.4693	14.7458	13.941	7.87776	8.29906	8.9153
File_127	Tnfrsf1b	Macrophage 	chr4:145212367-145246870	7.89982	1.06101	-2.89638	0	0	yes	7.49319	8.19625	8.16734	1.17198	1.11804	0.923696
File_128	Txlnb	Macrophage 	chr10:17796218-17845754	3.90334	1.51275	-1.36753	0.000112285	0.0100553	yes	7.64418	2.21186	2.76634	0.265259	2.68606	1.61205
File_129	Atp2a1	Mature B 	chr7:126428434-126463073	183.156	43.311	-2.08026	1.91E-13	1.83E-10	yes	340.252	102.269	116.931	3.36622	78.6264	48.058
File_130	Crct1	Mature B 	chr3:93014204-93015686	58.2449	23.1631	-1.3303	1.04E-06	0.000163268	yes	64.6172	25.5843	69.6786	2.19588	26.9731	39.8508
File_131	Hao2	Mature B 	chr3:98871466-98893273	48.3753	86.1739	0.832981	1.83E-05	0.00206188	yes	44.7954	55.9726	45.3143	109.24	68.0752	83.603
File_132	Ly6d	Mature B 	chr15:74762055-74763567	65.1309	33.6943	-0.950835	0.000146162	0.0123799	yes	78.0298	32.6361	81.3555	7.5274	33.6579	59.6591
File_133	Mef2c	Mature B 	chr13:83504033-83667079	9.30064	4.70928	-0.981824	3.84E-05	0.00405399	yes	13.1834	5.87365	7.34036	2.41328	6.69716	4.76045
File_134	Ptp4a3	Mature B 	chr15:73723144-73758766	21.2656	12.0562	-0.818739	0.000662192	0.0455429	yes	30.3022	14.2467	17.4746	7.66845	15.1295	12.9969
File_135	Tchhl1	Mature B 	chr3:93468753-93471980	0.752094	0.0615417	-3.61128	5.31E-05	0.00524689	yes	1.3863	0.203724	1.11844	0	0.0238571	0.160768
File_136	Tmod4	Mature B 	chr3:95124473-95129209	16.0244	5.02884	-1.67198	3.75E-06	0.000500115	yes	32.9219	10.3142	11.2341	0.691504	9.29113	5.24264
File_137	Ubiad1	Mature B 	chr4:148434496-148444763	5.04125	9.8057	0.95984	0.000556776	0.0393959	yes	5.09644	4.49227	5.502	10.2202	8.98449	10.1073
File_138	Adssl1	Progenitor B	chr12:112620046-112641355	25.2798	8.43315	-1.58384	1.36E-09	5.35E-07	yes	45.9339	15.5964	16.6107	1.87685	14.3874	9.13172
File_139	Fhl3	Progenitor B 	chr4:124700533-124708628	17.3701	8.53101	-1.02582	0.000540495	0.038402	yes	25.5853	10.8914	14.2236	4.54163	10.6694	10.185
File_140	Ltf	Progenitor B 	chr9:111019291-111042766	5.60136	1.87672	-1.57756	1.23E-05	0.00146387	yes	5.55177	3.98317	8.02886	0.22569	3.29927	2.13693
File_141	Pla2g12a	Progenitor B 	chr3:129878621-129895821	10.8404	5.01344	-1.11255	0.000596976	0.0417252	yes	13.2097	8.45484	10.4892	3.94147	5.64825	5.334
File_142	Slpi	Progenitor B 	chr2:164354069-164356507	112.778	67.2185	-0.746558	0.00019672	0.0162615	yes	129.531	72.2815	139.885	35.5438	81.902	85.3703
File_143	Tmem38a	Progenitor B 	chr8:72571212-72587286	33.5368	14.4231	-1.21737	6.16E-07	0.000101787	yes	53.9921	21.4748	26.1174	7.20604	19.6301	16.516
File_144	Srl	Progenitor T 	chr16:4476265-4541829	12.1762	4.82447	-1.33562	7.01E-08	1.41E-05	yes	21.3076	8.1235	9.67324	1.78075	7.60297	5.27198
